# 별바라기 혜성 자료 파일
#
# 수정 내용을 반영하려면, 파일을 저장한 후 혜성 다이로그를 닫았다가 다시 띄우십시오.
# '#'으로 시작하는 줄은 프로그램에서 인식하지 않습니다.
# 각 항목을 '|'를 구분자로 사용하여 입력하십시오.
# 순서를 바꾸면 프로그램에서도 바뀐 순서로 나옵니다.
# 중요한 것을 앞쪽에 놓으면 편리합니다.    58 270
# 혜성의 이름은 39자까지 인식되며, 그 뒤는 무시됩니다.
#                                                                                근일점이각      승교점                            
#     이름                              분점        근일점           q         e        w         Node       i       k              ref
#1P/Halley                              |2000|19860205.5244 | 0.585978 |0.967142 |111.3324 |58.42008 | 162.262 |11.5 |15.0 | MPC 29882
#
P/2005 JD108 (Catalina-NEAT)           |2000|20220101.2495 | 4.064510 |0.376688 | 89.8637 |223.8075 |  3.2806 |10.0 |10.0 | MPC 75705
P/2005 L1 (McNaught)                   |2000|20211102.4009 | 3.143570 |0.209327 |149.6486 |138.2465 |  7.7385 | 9.5 |10.0 | MPC 74246
C/2005 L3 (McNaught)                   |2000|20080111.2559 | 5.618752 |0.998639 | 47.2278 |288.7720 |139.5619 | 4.0 |10.0 | MPC 87062
P/2005 S2 (Skiff)                      |2000|20290120.4826 | 6.443786 |0.196450 |229.1843 |161.1860 |  3.1356 | 7.5 |10.0 | MPC 75706
P/2005 SB216 (LONEOS)                  |2000|20260121.5787 | 3.826033 |0.462996 | 83.4113 |  1.2734 | 24.0644 |12.0 | 5.0 | MPC 75706
P/2005 T2 (Christensen)                |2000|20200408.3586 | 2.244356 |0.416551 | 58.8039 |260.1577 |  8.2928 |14.5 |10.0 | MPC 55717
P/2005 T3 (Read)                       |2000|20260828.1986 | 6.258763 |0.173553 |  7.2285 | 27.7725 |  6.2262 | 9.0 |10.0 | MPC 73461
P/2005 T4 (SWAN)                       |2000|20340518.5099 | 0.654415 |0.930086 | 41.5019 | 25.5975 |160.1542 |15.0 |10.0 | MPC 73461
P/2005 T5 (Broughton)                  |2000|20250615.2190 | 3.269702 |0.551677 |304.4929 | 57.0134 | 21.3460 |11.0 |10.0 | MPC 75706
P/2005 W3 (Kowalski)                   |2000|20210920.5047 | 2.892096 |0.543629 |200.5862 |210.1151 | 16.4131 |12.0 |10.0 | MPC 56954
P/2005 XA54 (LONEOS-Hill)              |2000|20210129.2987 | 1.753882 |0.710164 | 15.1478 |143.6732 | 17.1184 |14.0 |10.0 | MPC 75706
P/2005 Y2 (McNaught)                   |2000|20201021.3891 | 3.380587 |0.469018 |194.1455 | 94.5167 | 19.1079 | 9.0 |10.0 | MPC 75706
P/2006 H1 (McNaught)                   |2000|20191207.5141 | 2.422677 |0.580194 |309.2792 |359.8916 | 12.8051 |12.5 |10.0 | MPC 58118
P/2006 HR30 (Siding Spring)            |2000|20281014.4251 | 1.235812 |0.841791 |117.3001 |309.8961 | 31.8322 |11.0 |10.0 | MPC 75707
C/2006 K4 (NEAT)                       |2000|20071125.5084 | 3.200503 |0.997241 |233.6947 |116.7039 |111.5429 | 6.0 |10.0 | MPC 73914
C/2006 OF2 (Broughton)                 |2000|20080909.6918 | 2.448137 |1.001454 | 95.6458 |318.6676 | 30.1715 | 5.5 |10.0 | MPC 82313
C/2006 P1 (McNaught)                   |2000|20070112.7988 | 0.170733 |1.000018 |155.9756 |267.4149 | 77.8373 | 3.8 | 9.0 | MPC  82313
C/2006 Q1 (McNaught)                   |2000|20080703.1234 | 2.782798 |0.999022 |344.5592 |199.4115 | 59.0966 | 5.0 |10.0 | MPC112388
C/2006 S3 (LONEOS)                     |2000|20120412.7917 | 5.155319 |1.000242 |140.1961 | 38.3621 |166.0235 | 2.0 |10.0 | MPC105235
P/2006 S4 (Christensen)                |2000|20220114.8758 | 3.105382 |0.507675 |305.1596 | 36.1019 | 39.5407 |11.0 |10.0 | MPC 75707
